Category: All categories

Month,tempperature: (Worldwide),humidity: (Worldwide),wind speed: (Worldwide),dengue: (Worldwide),stomach pain: (Worldwide)
2008-06,0,1,3,12,2
2008-07,0,2,6,15,4
2008-08,0,0,3,12,6
2008-09,0,0,7,14,6
2008-10,0,1,3,16,5
2008-11,0,1,6,14,2
2008-12,0,2,2,20,1
2009-01,0,1,3,28,2
2009-02,0,1,3,31,2
2009-03,0,3,3,63,3
2009-04,0,1,1,88,4
2009-05,0,0,3,70,3
2009-06,0,1,2,77,2
2009-07,0,0,2,71,2
2009-08,0,1,2,64,2
2009-09,0,1,4,64,4
2009-10,0,0,4,71,6
2009-11,0,0,5,86,1
2009-12,0,2,3,95,4
2010-01,0,1,3,82,2
2010-02,0,1,1,74,2
2010-03,0,1,4,100,2
2010-04,0,<1,3,67,2
2010-05,0,2,3,75,2
2010-06,0,1,1,59,2
2010-07,0,<1,4,50,1
2010-08,0,1,1,54,3
2010-09,0,1,4,54,3
2010-10,0,1,2,54,2
2010-11,0,1,3,47,3
2010-12,0,<1,2,32,2
2011-01,0,1,2,34,2
2011-02,0,<1,3,40,2
2011-03,0,1,1,36,2
2011-04,0,2,2,34,4
2011-05,0,2,2,34,3
2011-06,0,2,3,29,1
2011-07,0,2,3,21,2
2011-08,<1,2,3,28,1
2011-09,<1,1,2,35,1
2011-10,0,3,3,26,1
2011-11,0,1,4,24,2
2011-12,0,2,3,25,2
2012-01,0,2,2,21,2
2012-02,0,3,4,25,2
2012-03,0,2,1,25,1
2012-04,0,2,2,25,1
2012-05,0,3,3,24,1
2012-06,0,2,2,22,1
2012-07,0,2,3,20,1
2012-08,0,4,4,19,2
2012-09,0,2,2,24,2
2012-10,0,1,4,22,3
2012-11,0,1,2,24,2
2012-12,0,1,1,19,1
2013-01,0,1,2,20,1
2013-02,0,3,2,24,2
2013-03,0,2,4,32,2
2013-04,0,1,4,37,2
2013-05,0,4,3,32,1
2013-06,0,2,3,25,1
2013-07,0,4,2,25,2
2013-08,0,4,3,22,3
2013-09,0,4,2,29,1
2013-10,0,2,2,29,2
2013-11,0,3,2,27,<1
2013-12,0,2,2,20,3
2014-01,0,3,4,22,2
2014-02,0,4,4,24,3
2014-03,0,3,3,23,2
2014-04,0,1,3,24,3
2014-05,0,2,2,20,1
2014-06,0,4,3,21,2
2014-07,0,2,3,20,1
2014-08,0,3,4,21,2
2014-09,<1,3,3,23,2
2014-10,0,3,2,21,1
2014-11,0,3,2,23,2
2014-12,0,3,3,19,2
2015-01,0,2,3,19,3
2015-02,0,2,2,19,3
2015-03,0,3,2,33,1
2015-04,0,3,1,42,3
2015-05,0,4,2,27,2
2015-06,0,4,4,31,2
2015-07,0,2,2,16,3
2015-08,0,4,4,19,2
2015-09,0,4,2,22,2
2015-10,0,6,2,22,1
2015-11,0,5,3,21,2
2015-12,0,3,1,22,3
2016-01,0,5,2,25,2
2016-02,0,5,1,59,2
2016-03,0,5,2,67,3
2016-04,0,3,1,54,2
2016-05,0,3,2,38,2
2016-06,0,4,1,28,2
2016-07,0,4,1,20,3
2016-08,0,5,1,20,2
2016-09,0,4,2,27,2
2016-10,<1,4,1,18,3
2016-11,0,5,3,21,3
2016-12,0,3,3,21,1
2017-01,0,5,3,15,5
2017-02,0,5,2,18,2
2017-03,0,6,2,17,4
2017-04,0,7,2,26,7
2017-05,0,5,2,22,2
2017-06,0,5,3,20,3
2017-07,0,5,2,26,4
2017-08,0,4,1,25,11
2017-09,0,4,2,31,10
2017-10,0,4,1,44,10
2017-11,0,4,1,35,11
2017-12,0,3,1,20,12
2018-01,0,4,1,17,11
2018-02,0,4,1,20,11
2018-03,0,4,1,20,13
2018-04,0,4,1,18,13
2018-05,0,5,1,19,14
2018-06,0,5,1,16,12
2018-07,0,4,1,21,16
2018-08,0,4,1,23,14
2018-09,0,5,1,32,13
2018-10,<1,4,1,38,13
2018-11,0,4,1,31,13
2018-12,0,4,1,21,15
2019-01,0,4,1,22,13
2019-02,0,5,1,28,14
2019-03,0,4,1,32,15
2019-04,<1,4,1,34,16
2019-05,0,5,1,33,16
2019-06,0,5,1,32,14
2019-07,0,5,1,38,16
2019-08,0,5,1,51,14
2019-09,0,4,1,63,14
2019-10,0,5,1,65,13
2019-11,0,4,1,54,14
2019-12,<1,5,1,30,13
2020-01,0,5,1,26,13
2020-02,0,4,1,33,14
2020-03,0,4,1,38,14
2020-04,<1,4,1,23,17
2020-05,0,5,1,21,16
2020-06,0,6,1,20,15
2020-07,0,6,1,22,18
2020-08,0,5,<1,21,16
2020-09,0,5,1,21,17
2020-10,0,5,1,26,14
2020-11,0,5,1,23,14
2020-12,0,5,1,20,15
2021-01,<1,5,1,18,16
2021-02,0,5,1,16,15
2021-03,0,5,1,19,16
2021-04,0,5,1,19,18
2021-05,<1,5,1,18,19
2021-06,0,6,1,17,20
2021-07,0,5,1,23,18
2021-08,0,5,1,27,16
2021-09,0,5,1,31,16
2021-10,0,4,1,37,11
2021-11,0,3,1,25,11
2021-12,0,3,1,15,12
